Product Name,Quantity,Subtotal
Product 8,2,19.98
Product 9,3,17.97
Product 11,5,19.950000000000003
Product 10,4,39.96
Product 12,7,20.93
Product 4,2,7.98
Product 5,2,5.98
Product 6,3,26.97
Product 17,66,131.34
Product 16,8,79.92
Product 22,7,13.93
Product 24,7,69.93
Product 23,7,34.93000000000001
Product 18,6,53.940000000000005
Product 15,5,29.950000000000003
Product 14,4,31.96
Product 21,5,34.95
Product 13,3,29.97
Product 20,2,9.98
Product 19,2,5.98
Product 1,1,9.99
Product 2,1,8.99
Product 3,1,6.99
Product 7,1,1.99
